number of bedrooms,number of bathrooms,living area,lot area,number of floors,number of views,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,Number of schools nearby,Distance from the airport,Price
5,3,2100,4548,1,0,1250,850,2013,0,122056,52.7166,-114.509,2100,2,61,330000
3,1.75,1440,8040,1,0,960,480,1951,0,122022,52.9428,-114.496,1500,3,63,315275
5,2.25,2180,7813,2,0,2180,0,1986,0,122024,52.5951,-114.241,1880,2,54,302000
2,1.5,830,1333,2,0,830,0,2005,0,122016,52.7806,-114.571,1120,2,52,301500
2,1.75,1360,8100,1,0,860,500,1975,0,122050,52.9595,-114.549,1830,3,72,300000
3,1,1830,8209,1,0,1830,0,1942,0,122058,52.9739,-114.418,2150,3,75,270000
2,1,1290,2828,2,0,1290,0,2008,0,122045,52.9268,-114.215,1290,1,71,265000
2,1,1220,2500,1,0,770,450,1910,0,122064,52.8027,-114.562,1540,3,64,255000
1,1,810,2451,1,0,810,0,1941,0,122064,52.7488,-114.566,980,1,55,235000
3,1,990,8012,1,0,990,0,1966,0,122046,52.6857,-114.371,1260,3,79,225000
3,1.5,1350,7620,1,0,1350,0,1941,0,122031,52.6865,-114.54,1350,1,75,211000
3,2.5,1040,2643,2,0,720,320,2004,0,122051,52.7465,-114.458,1540,1,64,210000
3,1,1460,9750,1,0,1460,0,1969,0,122035,52.5542,-114.334,1270,3,80,201000
2,1,700,10540,1,0,700,0,1953,0,122031,52.668,-114.526,890,3,63,192000
3,1.5,1370,8470,1,0,1370,0,1961,0,122023,52.5174,-114.382,1710,2,73,185000
3,1,970,8580,1,0,970,0,1959,0,122040,52.5663,-114.501,1430,3,78,156000
3,1,1250,53143,1,0,1250,0,1945,0,122024,52.6535,-114.241,1820,3,56,110000
4,2.5,5300,26211,2,2,4570,730,1923,0,122004,52.891,-114.459,3890,1,79,2560000
5,4,4430,9000,2,0,4430,0,2013,0,122048,52.8468,-114.406,2470,2,56,2450000
4,4.5,5030,11023,2,2,3250,1780,2008,0,122057,52.8022,-114.426,3640,3,52,2450000
5,2.25,3120,16672,2,0,3120,0,1969,0,122048,52.8758,-114.409,3740,3,51,1900000
5,3.25,4860,23723,2,2,3820,1040,1989,0,122057,52.8067,-114.405,4040,3,74,1680000
5,3.25,3370,17458,1,2,2000,1370,1982,0,122057,52.7891,-114.419,4240,2,77,1550000
5,4.25,3530,7924,2,0,3530,0,2001,0,122057,52.8194,-114.433,1750,3,59,1400000
4,1.5,2740,4000,2,0,1930,810,1905,0,122061,52.8643,-114.542,1680,3,60,1110000
4,3.25,4400,8400,2,0,4400,0,2003,0,122020,52.8168,-114.158,4440,2,71,1050000
4,2.5,3490,7494,2,3,3490,0,2000,0,122027,52.789,-114.317,3260,2,67,975000
4,2.5,3520,6773,2.5,0,2650,870,2006,0,122016,52.7617,-114.581,2930,3,67,870000
4,2.5,3560,11119,1,2,2290,1270,1986,0,122048,52.8756,-114.38,3290,3,52,860000
5,2.75,3150,7119,2,0,3150,0,2013,0,122005,52.9059,-114.341,1560,1,52,819900
6,3,2890,2370,2.5,0,2290,600,1906,0,122013,52.8527,-114.513,2180,2,66,799200
3,1.75,2340,10495,1,0,2340,0,1967,0,122057,52.7686,-114.416,3120,1,79,780000
3,3.25,3610,59677,2,0,2440,1170,2003,0,122012,52.7764,-114.278,3130,3,51,777000
3,2.25,1780,6120,1.5,0,1390,390,1927,0,122044,52.8325,-114.476,1960,2,58,771000
3,3.25,3190,5283,2,0,3190,0,2007,0,122011,52.7834,-114.192,2950,1,52,757000
3,1.5,1310,3880,1,0,1090,220,1956,0,122007,52.9121,-114.582,1570,3,60,717000
3,2.5,2030,8398,2,0,2030,0,1975,0,122029,52.8572,-114.285,2450,1,64,700000
4,2.5,3000,5548,2,0,3000,0,2006,0,122015,52.7699,-114.378,2870,3,65,675000
5,3,3410,9600,1,0,1870,1540,1968,0,122005,52.8658,-114.293,2390,2,62,675000
3,2,1940,5820,1.5,0,1150,790,1944,0,122026,52.8938,-114.552,990,1,60,665000
4,3.5,3400,5196,2,0,3400,0,2012,0,122008,52.7469,-114.074,3170,2,56,660000
4,2.5,2740,7140,2,0,2740,0,1993,0,122019,52.8634,-114.211,2260,1,74,651000
4,2.5,2210,4861,2,0,2210,0,2013,0,122007,52.9259,-114.554,1590,2,62,650000
3,2.5,1740,13750,2,0,1740,0,1975,0,122029,52.8564,-114.282,2540,3,63,645000
4,1.75,1950,13320,1,0,1370,580,1969,0,122030,52.8496,-114.329,2120,3,60,635000
4,2,2260,6000,1,0,1430,830,1958,0,122006,52.9176,-114.488,2030,1,60,628000
3,3.5,1810,1846,2,0,1440,370,2009,0,122044,52.837,-114.495,1480,1,76,625000
3,1,1710,4050,1.5,0,1710,0,1909,0,122028,52.9032,-114.521,1790,3,64,620000
3,1.75,1680,2400,1,0,870,810,1922,0,122044,52.8455,-114.49,1440,1,50,591000
4,2.25,2710,38180,2,0,2710,0,1977,0,122037,53,-114.287,2590,2,63,591000
4,1.75,2090,8164,1,0,1070,1020,1963,0,122005,52.9015,-114.345,1310,2,66,581000
5,2,2290,7125,1,0,1190,1100,1964,0,122029,52.864,-114.309,1460,3,61,580000
3,1.75,1580,11750,1,0,1180,400,1951,0,122051,52.7668,-114.455,2150,3,62,575000
3,2,1530,5401,1,0,1530,0,1937,0,122006,52.916,-114.494,1640,1,54,570000
3,1,1440,5000,2,0,1440,0,1910,0,122028,52.9041,-114.544,1850,1,60,560000
4,2,2250,7500,1,0,1200,1050,1956,0,122049,52.8177,-114.347,1440,3,73,550000
7,4,3440,8100,2,0,3440,0,1970,0,122028,52.9281,-114.539,1420,1,62,550000
2,2,1680,4950,1,0,1680,0,2006,0,122045,52.9494,-114.212,1570,2,72,530000
3,1.75,1690,8190,1,0,1690,0,1958,0,122049,52.8157,-114.362,1840,3,62,530000
5,3,2450,4591,2,0,2450,0,1994,0,122007,52.9128,-114.578,1060,1,52,525000
3,3.5,2876,5086,2,0,2360,516,2007,0,122021,52.9811,-114.363,2390,1,70,525000
3,2.5,1580,1161,2,0,1010,570,2008,0,122047,52.8506,-114.489,1680,1,54,525000
3,1.5,1240,7735,1,0,1240,0,1957,0,122029,52.831,-114.312,1260,1,54,523000
4,2.5,2790,5602,2,0,2790,0,2009,0,122015,52.7259,-114.34,2790,1,69,505000
4,2.5,2040,5616,2,0,2040,0,2012,0,122058,53.0037,-114.428,2380,2,72,502000
5,4.75,3830,35000,1,0,2130,1700,1976,0,122037,52.9897,-114.269,2750,2,61,480000
4,2.5,3740,8700,1,0,2260,1480,2004,0,122046,52.6887,-114.307,2650,1,68,475000
3,1.5,1270,5112,1,0,1270,0,1950,0,122006,52.906,-114.478,1580,2,77,465000
5,2.5,3400,8970,1,0,1700,1700,1959,0,122038,52.9658,-114.525,1890,1,80,464000
3,2.25,2350,10450,1,0,1390,960,1977,0,122058,52.9733,-114.449,2250,2,69,460000
4,2.5,3360,7685,2,0,3360,0,2001,0,122046,52.6669,-114.301,3060,3,67,455000
3,2.75,1250,892,2,0,1040,210,2010,0,122009,52.8126,-114.577,1250,2,52,450000
3,2.25,2450,42180,1,0,2450,0,1978,2000,122035,52.5849,-114.301,1440,1,72,450000
3,2,1770,6610,1,0,960,810,1954,0,122038,53.0003,-114.533,2010,3,63,449500
4,2.25,2140,6355,2,0,2140,0,2002,0,122008,52.7667,-114.07,2480,1,72,435000
3,1.75,1960,5000,1,0,980,980,1911,0,122059,52.7876,-114.507,1790,3,61,415000
4,1,1410,6000,1,0,810,600,1925,0,122064,52.796,-114.563,1500,3,80,413000
4,1.75,2180,13529,1,0,1090,1090,1956,0,122014,52.9816,-114.484,2000,3,58,405000
3,2,1480,6600,1,2,740,740,1943,0,122052,52.7381,-114.575,1250,2,58,385000
3,1,1190,9486,1,0,1190,0,1953,0,122031,52.6619,-114.529,2100,3,54,375000
5,2.5,3001,5710,2,0,3001,0,2006,0,122035,52.6027,-114.367,2340,1,77,373000
3,1.75,1650,8254,1,0,1060,590,1951,0,122014,52.9896,-114.494,2280,3,52,370000
3,2.5,1490,1709,3,0,1490,0,2004,0,122022,52.9473,-114.489,1364,1,69,354901
3,2.5,2010,14298,2,0,2010,0,1977,0,122069,52.7369,-114.662,2010,3,72,350000
3,1.75,1090,7200,1,0,1090,0,1968,0,122033,52.9527,-114.369,1240,2,63,345000
3,2.5,1450,5008,1,0,840,610,2007,0,122034,52.7735,-114.547,2120,3,78,330000
3,2,1350,14200,1,0,1350,0,1989,0,122055,52.9615,-114.162,2100,2,79,322500
3,1,1390,12823,1,0,1390,0,1968,0,122037,52.9738,-114.265,1390,3,63,319000
3,1,1090,7315,1,0,1090,0,1981,0,122053,52.724,-114.355,1090,3,77,289000
3,2.5,1950,8251,2,0,1950,0,1990,0,122039,52.573,-114.47,1540,2,73,287600
3,2.25,1490,9600,1,0,1170,320,1987,0,122055,52.9678,-114.167,1590,3,57,287000
3,1,1090,8640,1,0,1090,0,1973,0,122031,52.689,-114.545,1260,1,52,285000
4,1.5,2180,22870,1,0,1280,900,1954,1975,122035,52.5487,-114.271,2420,1,66,273000
4,2.25,2510,8165,1,0,1610,900,1972,0,122018,52.5392,-114.562,1940,3,59,267345
5,1.75,2020,7902,1,0,1220,800,1962,0,122056,52.74,-114.517,2220,3,66,245000
3,1,1900,33888,1.5,0,1900,0,1942,0,122039,52.5038,-114.461,1430,2,80,239950
2,0.75,650,5360,1,0,650,0,1931,0,122038,52.9581,-114.525,1110,1,52,230000
3,1.5,1250,7500,1,0,1250,0,1967,0,122065,52.6019,-114.405,1260,2,72,225000
4,1.5,1950,12559,1.5,0,1950,0,1939,0,122070,52.6664,-114.472,1950,1,51,225000
3,1,1040,6535,1,0,1040,0,1947,0,122056,52.7206,-114.496,1100,2,62,225000
3,1,1660,7210,1,0,1100,560,1963,0,122039,52.5694,-114.471,1660,2,51,225000
2,1,910,6232,1,0,910,0,1943,0,122051,52.7628,-114.462,1070,3,62,155000
2,1,790,2640,1,0,790,0,1973,0,122033,52.9651,-114.368,1310,3,76,90000
4,2.75,3260,19542,1,0,2170,1090,1968,0,122071,52.8545,-114.426,3480,3,78,1880000
3,2.5,2550,7200,2,2,2550,0,1981,2013,122054,52.8296,-114.478,2030,2,77,1400000
4,3.5,4910,9444,1.5,0,3110,1800,2007,0,122019,52.8802,-114.256,4560,2,52,1220000
4,2.25,4470,60373,2,0,4470,0,1988,0,122021,52.9589,-114.317,3210,3,67,1120000
4,2,2290,11137,1,0,2290,0,1955,0,122048,52.8187,-114.391,2300,2,68,1060000
5,4.5,3810,8019,2,0,3810,0,2008,0,122019,52.8215,-114.248,3390,1,53,966000
5,2.25,2510,9887,2,0,2510,0,1972,0,122057,52.7639,-114.413,2510,3,69,955000
4,2.5,3320,7644,2,0,3320,0,1995,0,122027,52.7841,-114.296,3320,3,54,950000
3,2.5,3100,20553,1,0,3100,0,1954,0,122050,52.9935,-114.567,3000,3,50,930000
4,2.5,2190,7350,2.5,0,2190,0,1958,0,122057,52.8086,-114.426,1880,1,80,925000
3,2.5,2580,13096,2,0,2580,0,1986,0,122005,52.8916,-114.334,2580,2,55,802000
3,1,1700,4400,1.5,0,1700,0,1906,0,122044,52.842,-114.482,1610,3,71,800000
3,2.75,2470,3600,2,0,2470,0,2007,0,122011,52.7706,-114.184,2570,3,60,773000
3,2.5,3030,30007,1.5,0,3030,0,1992,0,122037,52.973,-114.226,3360,2,53,766950
5,5,5774,31675,1,2,4490,1284,1984,0,122040,52.5766,-114.513,3260,3,54,740000
4,2.5,3430,10157,2,0,3430,0,2000,0,122033,52.953,-114.348,3480,3,58,740000
4,2.5,2700,4004,2,0,2700,0,2004,0,122011,52.7821,-114.185,2260,2,59,723000
4,2.25,2060,5649,1,0,1360,700,1941,0,122032,52.8796,-114.597,2060,2,78,715000
4,3.25,3200,7081,2,0,3200,0,2004,0,122020,52.8186,-114.179,3120,1,54,707000
3,1.5,2360,6750,2,0,1930,430,1926,0,122028,52.9223,-114.522,1320,1,53,702500
3,1.75,1830,5120,1.5,2,1830,0,1903,0,122044,52.8351,-114.501,2120,2,61,682000
4,2.5,2470,33305,2,0,2470,0,1993,0,122045,52.8603,-114.18,2440,3,68,633100
4,2.75,1680,11180,1,0,1680,0,1966,0,122005,52.8857,-114.317,2400,2,72,625000
5,2.5,2540,3832,2,0,1760,780,1929,0,122007,52.9148,-114.588,2000,3,54,620000
5,1.75,2220,6000,1.5,0,1420,800,1923,0,122032,52.878,-114.574,1550,3,78,607500
2,1.5,1159,4800,1,0,1159,0,1948,0,122032,52.8892,-114.589,1640,3,64,582500
4,2.5,2240,14667,2,0,2240,0,1989,0,122015,52.7576,-114.351,2410,3,67,565000
3,1.5,1830,8000,1,0,1830,0,1957,0,122029,52.8317,-114.312,1310,3,56,562000
3,1.75,2000,5000,1,0,1110,890,1921,0,122007,52.9159,-114.589,1750,3,56,546000
3,2.5,2090,7640,1,0,1360,730,1962,2014,122038,52.9669,-114.528,2090,2,59,543000
2,2,2370,217800,1.5,0,1600,770,1992,0,122012,52.7307,-114.278,2370,2,80,543000
4,1.75,1900,8250,1,0,950,950,1955,0,122027,52.8065,-114.337,1480,2,78,542000
3,1.75,1400,3825,1.5,0,1100,300,1904,0,122007,52.9093,-114.583,1720,1,62,538000
4,2.75,2450,15002,1,0,2450,0,1974,0,122031,52.6568,-114.533,2650,1,55,530000
3,1.75,1600,6120,1.5,0,1600,0,1924,0,122006,52.9147,-114.481,1670,3,52,525000
3,2.5,1820,4883,2,0,1820,0,2005,0,122058,52.9655,-114.414,2720,3,70,511000
3,1.75,2170,54014,1,0,1450,720,1986,0,122019,52.8447,-114.235,2090,2,75,510000
3,2,2090,42689,1.5,0,2090,0,1959,1998,122062,52.5797,-114.134,1890,3,70,499000
4,2.75,2270,7375,1,0,1290,980,1973,0,122033,52.9522,-114.358,1750,1,74,498000
3,2.75,1850,9600,1.5,0,1850,0,1965,0,122033,52.9559,-114.416,1250,2,80,489200
4,2.5,2150,39449,1,0,1420,730,1978,0,122036,52.7831,-114.082,2010,3,68,486000
4,2.5,2310,14023,2,0,2310,0,1991,0,122055,52.9651,-114.154,2410,2,69,470000
3,1,1660,7500,1,0,1060,600,1940,0,122022,52.9405,-114.496,1450,2,70,458000
3,2.5,2910,17172,2,0,2910,0,1989,0,122040,52.5089,-114.521,2910,2,64,450000
3,2.75,2580,5200,2,0,2580,0,2008,0,122015,52.726,-114.341,2700,3,59,437000
4,2.5,3040,24123,2,0,3040,0,1999,0,122023,52.4967,-114.406,2420,2,74,420000
2,1,840,3522,1,0,840,0,1947,0,122032,52.8875,-114.585,1390,3,69,405100
2,1,980,2130,1,0,860,120,1918,0,122007,52.9069,-114.556,980,2,51,400000
2,1,830,4000,1,0,830,0,1955,0,122007,52.9229,-114.569,950,2,68,394475
4,1.75,1620,4980,1,0,860,760,1947,0,122038,52.9325,-114.531,1400,1,52,385000
3,2.5,1690,1618,2,0,1150,540,2014,0,122011,52.7818,-114.188,1690,1,55,372977
3,1,1290,5500,1,0,980,310,1951,0,122016,52.7566,-114.582,1680,2,73,372220
4,1.75,2010,8625,1,0,1340,670,1957,0,122038,52.9796,-114.545,1500,1,61,364000
3,3.5,2100,12384,2,0,2100,0,1980,0,122070,52.6987,-114.453,2400,3,55,356000
5,3,2257,10117,1,0,1363,894,2005,0,122070,52.6824,-114.474,1540,3,53,349950
3,2.25,2120,15003,2,0,2120,0,1984,0,122015,52.7045,-114.31,2070,1,74,345000
3,2.25,1970,3716,2,0,1970,0,1997,0,122053,52.7207,-114.357,1780,1,71,340000
3,1,1050,5402,1.5,0,1050,0,1906,0,122054,52.8167,-114.501,1510,1,75,339950
5,2,1700,7314,1,0,1000,700,1956,0,122059,52.779,-114.495,2000,3,67,337500
3,2.5,2220,6049,2,0,2220,0,1990,0,122067,52.6272,-114.372,1980,1,57,325000
3,2.5,1840,5011,2,0,1840,0,2012,0,122024,52.5855,-114.244,2000,3,58,317000
4,2.5,2010,7226,2,0,2010,0,1995,0,122023,52.4888,-114.4,2160,1,80,316000
3,1,1050,9876,1,0,1050,0,1953,0,122058,52.9935,-114.452,1760,3,68,310000
3,1,1480,7830,1,0,1480,0,1952,0,122038,53.0003,-114.526,1450,3,64,310000
3,1.5,1220,1086,3,0,1220,0,2007,0,122038,52.9349,-114.543,1220,3,72,306000
3,1.75,2110,10200,2,0,2110,0,1966,0,122015,52.7044,-114.344,1800,3,50,305495
4,1.5,1590,131551,1,3,1590,0,1966,0,122068,52.4858,-114.214,2280,3,69,305000
3,1,1260,8280,1,0,1260,0,1946,0,122006,52.93,-114.489,2100,3,80,300000
2,1.75,1250,34395,1,0,1250,0,1950,0,122040,52.5102,-114.506,1910,2,71,299000
2,1,700,6000,1,0,700,0,1949,0,122014,52.9815,-114.506,920,1,62,267800
3,2.5,1780,7214,1,0,1400,380,1986,0,122065,52.5967,-114.372,1520,1,55,266000
3,2,1570,5706,1,0,1570,0,1998,0,122023,52.5456,-114.378,1570,3,58,265000
3,2,1850,8250,1,0,1150,700,1952,0,122072,52.5366,-114.399,1580,1,55,257200
4,2.5,2230,4541,2,0,2230,0,2006,0,122035,52.6148,-114.29,2800,3,56,253000
4,2,1630,9010,1,0,1050,580,1975,0,122023,52.547,-114.386,1670,3,70,234000
3,1.75,1340,7473,1,0,1340,0,1973,0,122072,52.5387,-114.396,1510,1,55,223000
2,1,1240,7200,1,0,1240,0,1967,0,122056,52.7271,-114.472,1130,2,60,215000
2,1,1170,8925,1,2,1170,0,1911,0,122043,52.6317,-114.511,1380,1,77,175000
3,1,860,11900,1,0,860,0,1963,0,122065,52.5874,-114.376,1660,1,60,160000
2,1,700,5200,1,0,700,0,1952,0,122053,52.7224,-114.365,1030,3,71,155000
3,1,1100,17334,1,0,1100,0,1978,0,122039,52.5303,-114.46,1530,3,75,139000
4,1.75,3550,19865,2,0,3550,0,1962,2002,122071,52.8536,-114.425,3000,2,79,2100000
4,2.5,3200,7535,2,0,3200,0,2006,0,122004,52.896,-114.466,1650,3,56,1260000
4,3.5,4210,10308,2,0,4210,0,2006,0,122029,52.8205,-114.307,3860,2,71,1150000
4,3.25,3740,12080,1,0,2000,1740,1988,0,122037,52.9514,-114.246,4210,1,68,1090000
5,4.25,3920,16258,2,0,2900,1020,1990,0,122048,52.8171,-114.382,2540,3,77,1000000
4,2.5,3950,10856,3,0,3950,0,2013,0,122020,52.8118,-114.186,3200,3,76,914500
4,1.75,2930,11562,1,3,1670,1260,1947,0,122007,52.9065,-114.594,2530,2,80,840000
3,1,1230,12305,1,0,1230,0,1955,1990,122048,52.8395,-114.385,2100,1,78,839000
4,3.5,3930,5680,2,1,2820,1110,2013,0,122012,52.7828,-114.266,3700,3,69,828950
5,2.75,3030,10335,2,0,3030,0,2013,0,122053,52.7605,-114.374,2720,3,51,819995
4,2.5,3310,5404,2,0,3310,0,2004,0,122005,52.8935,-114.273,2600,3,72,803100
3,1.75,1790,6117,1,2,1350,440,1940,0,122032,52.8666,-114.591,1960,2,54,790000
5,3.75,3580,14275,2,0,3190,390,1999,0,122012,52.7622,-114.246,2740,3,65,765000
4,2.5,3240,20301,2,0,3240,0,1985,0,122005,52.949,-114.304,3010,3,74,749400
4,3,1980,5352,2.5,0,1980,0,1941,2005,122016,52.762,-114.575,1680,1,66,744000
3,2.5,3150,151588,2,0,3150,0,2007,0,122036,52.802,-114.116,2410,1,62,720000
4,3,3150,9130,2,0,3150,0,2001,0,122020,52.8274,-114.207,2970,3,60,695000
3,2.5,4560,17622,2,0,3800,760,1986,0,122019,52.851,-114.22,2360,1,54,695000
4,3.25,2740,7266,2,0,2060,680,2003,0,122012,52.7646,-114.256,3030,2,69,689900
4,2,2560,7798,1,0,1890,670,1947,0,122006,52.9214,-114.486,1330,3,50,640000
4,2.5,2680,9185,2,0,2680,0,1989,0,122011,52.8038,-114.182,2810,3,53,620000
4,2,1550,4815,1.5,0,1550,0,1909,0,122028,52.897,-114.526,1680,3,59,613000
4,2.5,2240,12032,1,0,2240,0,1983,0,122019,52.8443,-114.207,2520,3,80,592500
5,1.75,2000,3750,2,0,2000,0,1921,0,122028,52.8918,-114.545,1520,1,79,585000
4,2.75,2550,7636,1,0,1440,1110,1986,0,122019,52.8771,-114.25,2290,1,78,582800
3,2.5,2360,4638,2,3,2360,0,1996,0,122006,52.9137,-114.511,1620,3,68,580050
2,1,1490,6000,1,0,1090,400,1946,0,122047,52.8596,-114.49,1590,2,75,575000
4,2.5,3020,17810,1,0,1600,1420,1979,0,122014,53.0035,-114.471,2500,3,59,575000
3,2.25,1980,40887,1,0,1980,0,1980,0,122005,52.8778,-114.219,2460,3,52,550000
3,2.5,2700,7434,2,0,2700,0,1991,0,122021,52.9734,-114.364,2660,3,76,525000
3,2.5,1840,2875,2,0,1840,0,1997,0,122009,52.792,-114.583,1240,1,68,512500
4,2.5,2240,7200,2,0,2240,0,1995,0,122051,52.7936,-114.465,1860,1,74,497000
4,2,2050,4000,1.5,0,1210,840,1941,0,122054,52.8099,-114.496,1310,2,55,495000
7,3.5,2870,29699,1,0,1520,1350,1961,0,122022,52.9453,-114.517,1380,3,57,475000
3,1,1660,6582,1,0,1000,660,1946,0,122038,52.9469,-114.543,1110,3,59,467000
3,1.5,1260,10350,1,0,1260,0,1959,0,122029,52.8657,-114.313,1800,3,78,465750
3,1.75,1410,6886,1,0,1410,0,1924,2013,122038,52.9483,-114.543,1410,2,70,465000
3,2.5,1870,7344,1,0,1470,400,1980,0,122033,52.9565,-114.396,1930,1,68,455000
2,1,1320,4520,1,1,1320,0,1912,1971,122009,52.7955,-114.584,1420,3,71,451555
3,2,1510,7066,1,2,1230,280,1973,0,122022,52.9353,-114.493,1950,2,55,430000
4,1.75,1880,7303,1,0,1010,870,1976,0,122033,52.9429,-114.393,1710,3,59,423000
3,2,1640,9972,1,0,1640,0,1977,0,122020,52.8112,-114.192,1680,2,60,420000
3,1.5,1340,10224,1,0,1340,0,1956,0,122027,52.8052,-114.347,1340,3,65,417000
3,1.5,1490,8475,1,0,1490,0,1963,0,122005,52.8871,-114.323,1490,1,70,412500
3,1,1630,10304,1,0,1630,0,1953,0,122014,52.9848,-114.507,1480,1,78,400000
3,1.5,1120,7000,1,0,1120,0,1955,0,122030,52.8287,-114.336,1470,2,70,395300
3,2.5,2240,10800,2,0,2240,0,1996,0,122058,52.9733,-114.419,1900,2,69,390000
3,2.5,1720,3600,2,0,1720,0,2010,0,122045,52.9156,-114.203,1720,1,63,386380
4,1.75,1890,8000,1,0,1250,640,1960,0,122038,52.9876,-114.523,1870,3,74,375000
4,2.5,2710,5880,2,0,2710,0,1998,0,122023,52.5614,-114.362,2520,3,72,370000
3,1.75,1680,250470,1,0,1070,610,1940,0,122055,52.9924,-114.12,1680,3,66,350000
3,1,1400,7066,1,0,1400,0,1957,0,122022,52.9427,-114.515,1400,2,61,349950
3,2.5,1700,7496,2,0,1700,0,1994,0,122042,52.662,-114.379,2280,3,67,349950
3,2.5,1232,1130,3,0,1232,0,2007,0,122022,52.9485,-114.507,1232,1,68,344000
4,1.75,2290,10290,1,0,1340,950,1960,0,122052,52.7345,-114.559,1800,3,53,343000
3,2.25,1180,9630,2,0,1180,0,1986,0,122058,52.9652,-114.422,2660,1,53,342400
3,1.75,1960,8136,1,0,980,980,1948,0,122034,52.7508,-114.554,1070,1,59,340000
3,2.25,2150,30476,2,0,2150,0,1991,0,122070,52.6905,-114.467,2010,1,69,335000
4,2.5,2150,6807,2,0,2150,0,1991,0,122067,52.6353,-114.379,1910,2,52,316500
2,1,880,6345,1,0,880,0,1919,0,122034,52.7641,-114.548,1440,3,52,312500
3,2.25,1490,974,2,0,1220,270,2009,0,122034,52.7867,-114.553,1490,2,78,312000
4,1.75,2020,7865,1,0,1010,1010,1963,0,122015,52.7308,-114.352,1650,1,58,302000
3,1,1220,13000,1,0,1220,0,1955,0,122038,52.9908,-114.543,1510,3,69,300000
3,1.5,850,2500,1,0,850,0,1986,0,122034,52.7977,-114.55,850,3,61,295000
3,1,1330,20562,1.5,0,1330,0,1959,0,122025,52.7107,-113.965,1350,2,71,280000
4,2.5,1840,1562,2,0,1400,440,2004,0,122034,52.7645,-114.554,1840,2,61,275000
3,1,1010,9514,1,0,1010,0,1969,0,122015,52.7236,-114.295,1010,1,59,270000
3,2.25,1590,7748,2,0,1590,0,1991,0,122040,52.5157,-114.49,1590,3,76,263000
3,2.5,1690,5025,2,0,1690,0,2003,0,122018,52.5079,-114.537,2550,2,71,256883
4,2.5,2070,7800,2,0,2070,0,1989,0,122040,52.5787,-114.505,1950,1,69,255000
3,2,1650,7352,1,0,1160,490,1979,0,122046,52.6912,-114.359,1710,1,52,252350
3,1,1230,10350,1,0,1230,0,1957,0,122042,52.658,-114.389,1510,1,74,250000
3,1.75,1490,6930,1,0,1490,0,1990,0,122065,52.5982,-114.369,1880,2,77,245000
3,2,1400,6200,1,0,700,700,1948,0,122038,52.9934,-114.53,1410,3,78,240000
3,2,1400,7384,1,0,1150,250,1979,0,122046,52.6955,-114.364,1820,2,55,225000
3,1,1040,5000,1,0,1040,0,1959,0,122052,52.7422,-114.548,1440,2,73,217450
3,1,1160,10384,1,0,1160,0,1969,0,122024,52.5934,-114.217,1200,3,79,215000
4,2,1670,9987,1,0,1670,0,1967,0,122039,52.5706,-114.474,1640,3,76,204700
3,1,980,3090,1.5,0,980,0,1903,0,122051,52.7825,-114.467,980,1,78,197500
3,1,1090,8520,1,0,1090,0,1967,0,122040,52.5664,-114.497,1190,3,61,190000
3,1,1150,8100,1,0,1150,0,1932,0,122056,52.724,-114.497,1120,2,58,185000
3,1,1060,5200,1,0,1060,0,1970,0,122035,52.5936,-114.283,1380,1,73,174950
5,4.25,6490,10862,2,3,3940,2550,1991,0,122057,52.8028,-114.395,3290,2,65,2000000
4,3,5520,8313,2,3,3570,1950,2008,0,122027,52.7955,-114.319,3770,3,54,1270000
3,2,2220,6641,1,2,1220,1000,1947,0,122032,52.8726,-114.578,1800,3,56,875000
4,2.75,3280,24440,2,0,3280,0,1996,0,122037,52.9373,-114.26,3490,1,66,862500
5,1.5,3360,5402,2,0,3360,0,2014,0,122019,52.8367,-114.243,3360,3,77,804995
4,3.25,3120,5000,2,0,2370,750,2005,0,122006,52.92,-114.489,2520,2,66,799000
3,2,2180,5440,1,0,1100,1080,1904,0,122028,52.887,-114.535,1470,2,53,785000
4,2.5,2110,3750,2,0,2110,0,2000,0,122007,52.9089,-114.553,1700,3,71,772000
4,2.5,3120,14300,2,0,3120,0,2003,0,122012,52.7618,-114.245,2580,3,77,730100
5,2.75,2830,5310,2,0,2830,0,2006,0,122005,52.9374,-114.291,3150,3,66,725000
3,2,2050,3933,1,0,1180,870,1926,2001,122047,52.8736,-114.493,1940,1,55,724800
2,1,2020,7200,1,3,1700,320,1947,0,122052,52.736,-114.574,2020,1,62,720000
5,2.5,3200,6455,2,0,3200,0,2009,0,122008,52.7746,-114.052,3290,1,72,675000
5,3.25,3690,12353,2,0,3690,0,1977,0,122014,52.9972,-114.482,2290,1,63,655000
4,2.5,3160,11380,2,0,3160,0,1983,0,122019,52.8618,-114.229,2970,2,61,645000
3,2.25,1720,4000,1.5,0,1450,270,1921,0,122004,52.8983,-114.476,1410,3,70,620000
3,2.5,2170,5000,2,0,2170,0,2003,0,122011,52.7758,-114.186,2170,3,62,619500
3,2.5,2720,6439,2,0,2720,0,2005,0,122008,52.7722,-114.05,3180,1,68,619000
3,2.5,2134,1984,2.5,0,2134,0,2008,0,122012,52.7702,-114.217,2170,3,74,611000
2,1,910,3600,1,0,910,0,1909,0,122003,52.8641,-114.551,1720,3,52,605000
3,2.25,1290,2500,2,0,1290,0,1987,0,122047,52.8529,-114.488,1700,1,71,605000
