number of bedrooms,number of bathrooms,living area,lot area,number of floors,number of views,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,living_area_renov,Number of schools nearby,Distance from the airport,Price
4,1,2020,7865,1,0,1010,1010,1963,0,1650,1,58,302000
3,1,1220,13000,1,0,1220,0,1955,0,1510,3,69,300000
3,1,850,2500,1,0,850,0,1986,0,850,3,61,295000
3,1,1330,20562,1,0,1330,0,1959,0,1350,2,71,280000
4,2,1840,1562,2,0,1400,440,2004,0,1840,2,61,275000
3,1,1010,9514,1,0,1010,0,1969,0,1010,1,59,270000
3,2,1590,7748,2,0,1590,0,1991,0,1590,3,76,263000
3,2,1690,5025,2,0,1690,0,2003,0,2550,2,71,256883
4,2,2070,7800,2,0,2070,0,1989,0,1950,1,69,255000
3,2,1650,7352,1,0,1160,490,1979,0,1710,1,52,252350
3,1,1230,10350,1,0,1230,0,1957,0,1510,1,74,250000
3,1,1490,6930,1,0,1490,0,1990,0,1880,2,77,245000
3,2,1400,6200,1,0,700,700,1948,0,1410,3,78,240000
3,2,1400,7384,1,0,1150,250,1979,0,1820,2,55,225000
3,1,1040,5000,1,0,1040,0,1959,0,1440,2,73,217450
3,1,1160,10384,1,0,1160,0,1969,0,1200,3,79,215000
4,2,1670,9987,1,0,1670,0,1967,0,1640,3,76,204700
3,1,980,3090,1,0,980,0,1903,0,980,1,78,197500
3,1,1090,8520,1,0,1090,0,1967,0,1190,3,61,190000
3,1,1150,8100,1,0,1150,0,1932,0,1120,2,58,185000
3,1,1060,5200,1,0,1060,0,1970,0,1380,1,73,174950
5,4,6490,10862,2,3,3940,2550,1991,0,3290,2,65,2000000
4,3,5520,8313,2,3,3570,1950,2008,0,3770,3,54,1270000
3,2,2220,6641,1,2,1220,1000,1947,0,1800,3,56,875000
4,2,3280,24440,2,0,3280,0,1996,0,3490,1,66,862500
5,1,3360,5402,2,0,3360,0,2014,0,3360,3,77,804995
4,3,3120,5000,2,0,2370,750,2005,0,2520,2,66,799000
3,2,2180,5440,1,0,1100,1080,1904,0,1470,2,53,785000
4,2,2110,3750,2,0,2110,0,2000,0,1700,3,71,772000
4,2,3120,14300,2,0,3120,0,2003,0,2580,3,77,730100
5,2,2830,5310,2,0,2830,0,2006,0,3150,3,66,725000
3,2,2050,3933,1,0,1180,870,1926,2001,1940,1,55,724800
2,1,2020,7200,1,3,1700,320,1947,0,2020,1,62,720000
5,2,3200,6455,2,0,3200,0,2009,0,3290,1,72,675000
5,3,3690,12353,2,0,3690,0,1977,0,2290,1,63,655000
4,2,3160,11380,2,0,3160,0,1983,0,2970,2,61,645000
3,2,1720,4000,1,0,1450,270,1921,0,1410,3,70,620000
3,2,2170,5000,2,0,2170,0,2003,0,2170,3,62,619500
3,2,2720,6439,2,0,2720,0,2005,0,3180,1,68,619000
3,2,2134,1984,2,0,2134,0,2008,0,2170,3,74,611000
2,1,910,3600,1,0,910,0,1909,0,1720,3,52,605000
3,2,1290,2500,2,0,1290,0,1987,0,1700,1,71,605000
3,2,1520,1221,3,0,1520,0,2013,0,1550,3,73,565000
2,2,2260,9604,1,0,2260,0,1990,0,2260,2,63,551000
1,1,1140,6700,1,0,1140,0,1920,0,1350,3,67,540000
3,1,1260,3135,1,0,1260,0,1931,0,1700,3,62,523000
3,2,2370,7875,2,0,2370,0,2003,0,2660,1,58,522500
2,2,1310,1500,2,0,1160,150,2006,0,1320,1,61,500000
3,2,1450,2400,1,0,1450,0,1900,2003,1450,1,66,490000
2,1,1160,5000,1,0,1160,0,1937,0,1750,3,80,490000
4,2,2430,5000,2,0,2430,0,2009,0,2430,1,79,480000
3,1,1560,4049,1,2,1000,560,1926,0,1430,2,54,451000
4,2,2270,7800,1,0,1290,980,1977,0,1480,1,59,446000
3,2,1990,7340,2,0,1990,0,1984,0,2180,3,59,445000
3,3,1970,24318,1,0,1970,0,2010,0,2150,2,64,445000
3,2,2320,36847,2,2,2320,0,1992,0,2550,1,65,437500
4,2,2280,7568,2,0,2280,0,2001,0,2280,1,67,433000
3,1,2150,4333,1,0,1200,950,1956,0,1480,2,70,430000
3,2,2670,13218,1,0,2670,0,1988,0,1960,1,55,425000
3,2,1800,5761,2,0,1800,0,1990,0,1800,2,72,408200
3,2,2740,83199,2,4,2740,0,1973,0,2500,3,76,400000
3,1,1180,10541,1,0,940,240,1981,0,1230,1,65,385000
3,3,1860,1787,3,0,1860,0,2007,0,1830,3,68,379950
3,2,1410,1377,2,0,1290,120,2005,0,1445,1,60,377500
3,1,1100,1751,2,0,940,160,2007,0,1380,3,54,375000
4,2,2790,7956,2,0,2790,0,2005,0,1660,1,73,375000
4,1,1370,9957,1,0,900,470,1972,0,1510,3,58,370000
3,1,1726,197326,2,0,1726,0,1982,0,2114,2,72,363750
1,1,700,5100,1,0,700,0,1942,0,1010,2,71,350000
4,2,2440,4000,2,0,2440,0,2009,0,2410,2,69,350000
4,1,1980,7991,1,0,1980,0,1962,0,1730,1,62,345000
3,1,1260,6826,1,0,720,540,1944,0,1300,3,50,342000
3,2,1480,1663,2,0,1180,300,2012,0,1380,2,77,341000
3,1,1250,4800,1,0,1250,0,1951,0,1404,1,67,340000
3,1,1170,4950,1,0,1170,0,1960,0,1570,2,79,330000
3,2,1760,11410,1,0,1060,700,1977,0,1680,2,50,317000
4,2,2340,8990,2,0,2340,0,2003,0,2980,3,70,314000
3,2,2060,38377,1,0,1560,500,1978,0,2080,3,60,306500
3,2,1870,5874,2,0,1870,0,2005,0,2090,1,64,306000
2,1,830,6017,1,0,830,0,1954,0,1340,2,63,282613
3,2,1480,15639,2,0,1480,0,1987,0,1480,2,70,275000
4,2,1510,4235,1,0,1510,0,1955,0,1510,2,66,254000
2,1,1070,9643,1,0,1070,0,1985,0,1220,2,69,252700
3,2,1900,6660,1,0,950,950,1966,0,1690,3,52,250000
3,2,1440,7673,1,0,940,500,1982,0,1440,3,65,249000
4,3,1850,6519,2,0,1130,720,1986,0,1280,3,69,248000
2,1,870,6150,1,0,870,0,1941,0,1120,1,65,245000
4,1,1530,7200,1,0,1400,130,1948,0,1530,1,61,245000
5,1,1460,6032,2,0,1460,0,1941,0,1060,2,75,239950
4,2,1860,7000,1,0,1120,740,1979,0,1990,1,52,239900
3,2,1020,1204,2,0,720,300,2004,0,1360,1,57,238000
5,1,1730,5200,1,0,1050,680,1978,0,1350,3,64,205000
3,1,1000,18513,1,0,1000,0,1940,0,1280,3,76,180000
2,1,1010,5200,1,0,1010,0,1955,0,1580,3,60,174500
3,2,1700,4250,1,0,890,810,1944,0,1440,3,63,410000
3,2,1940,55756,1,0,1940,0,1954,0,2330,1,57,732000
4,2,2060,7475,1,0,1440,620,1985,0,2280,3,64,575550
3,2,2130,3500,1,0,1210,920,1994,0,2030,2,51,534640
2,2,1360,4688,1,0,780,580,1944,0,1340,3,64,488000
3,2,2480,8342,2,0,2480,0,1986,0,2300,1,58,415000
3,2,1410,14110,1,2,1170,240,1987,0,1560,2,57,352500
5,2,1970,8605,2,0,1970,0,1994,0,1970,3,80,297000
5,3,5340,10655,2,3,3740,1600,1912,0,3910,3,80,2100000
4,3,5010,34460,2,0,5010,0,1988,0,4760,3,50,1470000
4,3,3410,10769,2,0,3410,0,2008,0,2650,2,60,1410000
4,2,3190,8684,1,3,1680,1510,1967,0,3160,2,72,1220000
4,3,2240,6000,1,0,1270,970,1914,0,2240,1,74,1190000
2,1,2430,23400,1,4,2430,0,1951,0,3150,3,63,1000000
3,1,2200,5000,1,0,2200,0,1932,0,2860,3,59,924000
4,2,2730,3560,1,0,1550,1180,1921,2007,1860,2,60,885000
5,3,4180,49222,2,0,2880,1300,1979,0,3170,1,76,869000
4,3,2640,5900,2,2,2640,0,1937,1998,1700,1,51,850000
2,2,2380,9374,1,2,2380,0,2011,0,1610,3,79,818000
4,2,3480,59242,2,0,3480,0,1988,0,2930,1,59,810000
5,2,3370,5000,1,0,2140,1230,1907,0,1920,1,75,762000
4,2,2660,10452,2,0,2660,0,1993,0,2890,2,66,755000
4,2,3430,64441,2,0,3430,0,2013,0,3580,1,56,749950
3,1,2010,4905,1,0,1230,780,1912,0,2210,1,74,700000
3,2,1610,5100,1,0,1610,0,1940,0,1740,2,67,690000
2,2,1540,958,3,0,1540,0,2007,0,1410,3,79,640000
4,2,2460,4200,2,0,2460,0,1998,0,2330,2,57,611000
5,1,3290,11900,1,0,3290,0,1973,0,2210,2,70,602000
2,2,1420,9191,1,2,1420,0,1928,0,1420,1,53,592500
3,2,2030,7350,1,0,1190,840,1977,0,1950,1,58,588000
4,2,2500,4945,2,0,2500,0,2013,0,2760,1,54,575000
3,2,2030,9791,1,0,1500,530,1984,0,2030,2,71,572500
4,2,2110,10698,2,0,2110,0,1979,0,2220,1,66,565000
4,1,1660,4690,1,0,1260,400,1945,0,1400,1,67,560000
3,3,2320,3174,2,0,2060,260,1997,0,2320,1,66,530000
4,1,2420,2983,1,0,1480,940,1979,0,2370,1,70,525000
3,1,1890,3825,1,0,1290,600,1974,0,1320,1,61,524950
3,2,1680,2096,2,0,1380,300,2008,0,1360,2,57,518000
4,2,1690,3250,1,0,1550,140,1901,0,1620,3,52,487250
3,1,1500,4100,1,0,1370,130,1926,0,1500,2,62,485000
2,2,1260,1240,3,0,1260,0,2004,0,1330,2,50,485000
3,1,2200,7706,2,2,2200,0,1908,1988,1170,1,55,485000
3,2,1450,1445,2,0,980,470,2005,0,1510,1,58,482500
4,3,3370,435600,2,3,3370,0,2005,0,2790,2,73,480000
3,2,1350,2053,3,0,1350,0,2005,0,1350,1,53,477000
2,1,1490,3825,1,0,860,630,1929,0,1460,2,61,475000
4,2,3060,10043,1,0,1700,1360,1968,0,1630,3,67,475000
3,1,1630,28600,1,0,1630,0,1967,0,2260,2,55,464000
3,1,1710,990,1,0,1410,300,1928,0,1860,1,54,462000
5,1,1250,10530,1,0,1250,0,1966,0,1560,3,61,462000
2,1,1060,7193,1,0,1060,0,1926,0,1980,3,54,461000
5,2,2190,12687,1,0,1370,820,1978,0,2280,2,55,446000
3,1,1800,10200,1,0,1800,0,1967,0,2140,3,77,442500
2,1,1010,1968,1,0,1010,0,1906,0,1760,2,73,440000
3,2,2200,3360,2,0,2200,0,2009,0,2130,3,57,433500
3,2,1920,15124,2,0,1920,0,1995,0,1920,3,60,429000
2,1,770,4000,1,0,770,0,1924,0,1420,3,50,413500
4,2,2500,5257,2,0,2500,0,1966,0,1660,2,75,411000
4,2,2490,8290,2,0,2490,0,1999,0,2690,2,57,390000
3,2,1690,1613,2,0,1150,540,2014,0,1690,3,55,386591
3,2,1670,3565,2,0,1670,0,1999,0,1510,3,71,373000
2,1,1660,4680,1,0,830,830,1908,0,1930,2,79,368000
2,1,700,2334,1,0,700,0,1945,0,2300,3,50,367000
4,2,2070,9300,1,0,1120,950,1945,0,1010,3,67,366500
3,1,1290,189486,1,0,1290,0,1960,0,2370,3,55,359950
3,2,1640,7200,2,0,1640,0,1985,0,1830,2,76,350000
4,2,1830,8601,2,0,1830,0,2003,0,1830,1,63,339000
4,2,1580,7800,2,0,1580,0,1906,0,1190,2,52,333000
3,2,2680,7757,2,0,2680,0,1990,0,2430,2,50,320000
4,1,2310,8045,1,0,1650,660,1976,0,1790,1,75,319950
3,1,1370,7500,1,0,1370,0,1960,0,1160,2,73,307000
3,1,1610,12247,1,0,1610,0,1981,0,2010,2,52,305000
5,3,2100,9752,1,0,1200,900,2007,0,1270,3,63,298450
3,2,2170,7900,1,0,1380,790,1978,0,2170,2,71,296500
4,2,1700,7280,2,0,1700,0,1988,0,1950,3,74,290000
5,1,2120,7700,1,0,2120,0,1962,0,1730,1,68,290000
4,1,2080,13629,1,0,1040,1040,1955,0,1780,1,80,285000
1,1,810,3211,2,0,810,0,1982,0,1320,2,61,285000
3,2,1270,9675,2,0,1270,0,1993,0,1270,3,66,280000
3,2,1720,1916,2,0,1720,0,2005,0,1760,3,69,280000
2,1,1120,9912,1,0,1120,0,1980,0,1540,2,69,256500
4,1,1310,8250,1,0,1060,250,1953,0,1260,2,77,251200
3,2,1580,7941,2,0,1580,0,1986,0,1730,2,60,247000
2,2,1470,3128,2,0,1470,0,2005,0,1180,2,54,241000
2,1,910,9612,1,0,910,0,1981,0,1410,3,56,225000
2,2,1610,2040,2,0,1610,0,1979,0,1950,2,64,215000
3,1,970,7275,1,0,970,0,1970,0,1750,2,52,215000
3,1,1080,21043,1,0,1080,0,1942,0,1380,1,70,210000
2,1,930,4743,1,0,930,0,1942,0,930,2,61,141800
3,1,950,7620,1,0,950,0,1954,0,1260,2,79,137000
2,1,680,5000,1,0,680,0,1941,0,1340,3,52,110700
4,3,4460,16953,1,0,2550,1910,1962,1994,1980,2,79,1800000
4,3,3300,4545,1,4,2600,700,1926,1999,3300,3,59,1740000
3,1,3400,8965,1,2,1820,1580,1957,0,3200,1,67,1690000
4,3,4380,74052,1,0,4380,0,2001,0,5170,2,55,1300000
4,2,2850,7861,1,4,1450,1400,1970,0,2810,3,52,1280000
4,3,4560,16643,1,3,2230,2330,1995,0,4060,2,57,1210000
6,3,2880,3192,2,0,2180,700,1919,0,1870,3,67,1130000
3,2,2390,6888,2,1,2390,0,1939,0,2390,1,66,1100000
4,2,2620,13777,1,2,1720,900,1926,0,3530,2,72,978000
4,3,3120,5086,2,0,2480,640,2008,0,1880,3,75,953007
4,2,2260,41984,1,0,2260,0,1967,0,2650,3,70,925000
4,2,3500,13875,1,4,1830,1670,1938,0,2960,3,76,879950
4,2,3160,8097,2,0,3160,0,2014,0,2200,1,65,860000
3,1,1570,1050,2,0,1570,0,1915,0,2070,2,74,792000
4,3,3070,4684,2,0,2190,880,2009,0,2290,3,57,785000
3,2,1640,1204,3,0,1640,0,2014,0,1630,1,77,772000
4,2,2560,12100,1,0,1760,800,1976,0,2240,3,76,765000
4,1,2450,13300,1,2,1630,820,1987,0,3150,2,70,760000
6,2,2150,4505,1,0,1270,880,1952,0,1740,2,54,755000
3,2,2770,10773,2,2,2770,0,1992,0,2530,2,63,749950
4,2,3230,7331,2,0,3230,0,2004,0,3480,2,62,730000
2,1,1790,4000,1,0,1040,750,1923,0,1310,3,80,710000
4,1,1680,4021,1,0,1680,0,1921,0,1710,2,66,700000
4,2,2650,7945,2,0,2650,0,2006,0,1200,1,58,699000
4,3,2690,28300,1,0,2690,0,1954,1999,2820,2,73,675000
3,2,1990,10260,2,0,1990,0,1987,0,1990,1,72,675000
4,2,2150,12028,2,0,2150,0,1982,0,1800,1,78,639000
4,2,3550,8048,2,0,3550,0,2007,0,3920,2,58,625000
3,2,2480,9041,2,0,2480,0,2004,0,2480,3,51,620000
3,2,1700,4105,2,0,1700,0,1992,0,1880,2,65,619500
4,2,2820,13193,1,0,1860,960,1965,0,2580,3,60,615000
3,2,2660,4975,2,0,2660,0,2014,0,1840,2,78,599950
5,2,2890,12478,2,0,2890,0,1977,0,2570,3,78,598000
4,1,1280,6060,1,0,860,420,1926,0,1490,1,53,575000
2,1,1540,4025,1,0,1190,350,1908,0,1950,2,65,570000
3,2,3050,158558,1,0,3050,0,1987,0,2960,2,52,555000
3,2,2830,5802,2,0,2830,0,2001,0,2500,3,66,551000
3,1,1540,4773,2,0,1540,0,1941,2009,1540,3,78,525000
4,3,2680,10000,2,0,2040,640,1942,2014,1530,1,71,520000
4,2,1820,9350,1,0,1820,0,1967,0,2260,3,63,519900
4,2,2670,8765,2,0,2670,0,2006,0,2880,1,50,515000
3,2,2020,8118,1,0,1020,1000,1963,0,1670,2,74,507500
3,2,1210,1200,3,0,1210,0,2008,0,1210,2,50,500000
5,3,3200,43560,2,0,3200,0,1989,0,2730,2,79,499950
4,1,2090,4300,1,0,1250,840,1925,0,1670,3,53,494000
3,1,1910,8190,1,0,1010,900,1946,0,1600,3,59,490000
5,3,4460,2975,3,2,3280,1180,2015,0,2490,1,59,490000
2,1,1480,5120,1,0,840,640,1951,0,1090,3,55,483945
4,2,2050,3960,1,0,1180,870,1986,0,1440,2,59,480000
3,2,1260,889,3,0,1260,0,2008,0,1340,1,75,479000
4,1,1650,7775,1,0,1150,500,1950,0,1390,2,55,475000
3,2,1270,1213,2,0,1040,230,2005,0,1410,3,63,467000
1,2,2140,10350,1,0,1470,670,1976,0,1980,1,63,458000
4,1,1210,3760,1,0,1210,0,1900,0,1540,3,52,452000
3,1,2060,44866,1,0,2060,0,1953,0,2320,3,64,450000
2,1,1300,4000,2,0,1300,0,1948,0,1350,2,52,440000
3,1,1270,1443,3,0,1270,0,2007,0,1270,3,59,440000
3,2,2010,251341,2,0,1510,500,2003,0,1780,2,78,439000
3,1,1200,4500,1,0,1200,0,1906,0,1340,1,76,430000
4,2,2800,8494,2,0,2800,0,2004,0,3740,3,79,426000
4,1,1940,6909,1,0,970,970,1941,0,1460,3,80,423000
2,1,1050,60113,1,0,1050,0,1943,0,1380,1,60,415000
3,2,1970,2377,2,0,1680,290,2008,0,1690,3,75,415000
3,2,1800,3168,2,0,1800,0,2014,0,1800,3,79,409316
5,2,2430,4781,2,0,2430,0,2001,0,2420,2,64,405000
2,1,1730,6375,2,0,1730,0,1945,0,1180,3,54,396675
3,1,1080,2940,1,0,1080,0,1920,0,1400,3,61,395000
4,2,1770,14258,1,0,1190,580,1965,0,2490,2,65,390000
4,1,1320,4440,1,0,1320,0,1929,0,1260,3,66,387500
2,2,1230,1280,2,0,960,270,2012,0,1130,2,73,387000
3,1,1490,9630,1,0,1490,0,1959,0,1960,2,74,385000
3,2,1700,4000,2,0,1700,0,2003,0,1700,1,64,384000
4,3,2800,9764,2,0,2800,0,2002,0,3610,1,56,380000
3,1,1690,1468,2,0,1380,310,2008,0,1690,3,71,380000
2,1,1150,4000,1,0,1150,0,1947,0,1150,3,70,376000
4,1,1590,10523,2,0,1590,0,1922,0,1610,3,51,372500
4,2,2220,6953,2,0,2220,0,1999,0,2240,3,50,350000
5,3,2800,5120,2,0,2800,0,1903,2005,1780,3,52,345600
3,1,1240,11200,1,0,1240,0,1954,0,1240,1,56,345000
3,1,1060,10050,1,0,1060,0,1967,0,1570,1,54,335000
2,1,860,8308,1,0,860,0,1948,0,1310,1,76,330000
3,1,1180,43124,1,0,1180,0,1959,0,1410,2,68,330000
4,2,2303,3680,2,0,2303,0,2013,0,2303,3,80,329995
3,2,2170,4905,2,0,2170,0,2004,0,2300,1,63,329900
4,2,1600,6765,1,0,830,770,1947,2011,1600,3,78,329000
6,3,1880,7200,1,0,1880,0,1966,0,1540,3,63,326000
4,2,1870,9680,1,0,1170,700,1959,0,2000,2,63,325000
3,1,1480,7225,1,0,1480,0,1965,0,1430,2,55,320000
3,2,1400,31626,1,0,1140,260,1987,0,1680,2,52,315000
2,1,790,6969,1,0,790,0,1955,1984,1380,1,75,315000
3,1,1092,7500,1,0,1092,0,1918,0,930,1,57,309000
2,2,1590,2656,2,0,1220,370,2009,0,1590,3,74,305000
3,1,1090,9900,1,0,1090,0,1955,0,1720,2,61,300000
3,1,2120,7735,1,0,1060,1060,1967,0,1010,2,66,300000
6,5,2860,5682,2,0,2860,0,1978,0,1390,1,67,300000
3,1,910,8000,1,0,740,170,1950,0,2090,3,76,299950
3,1,1560,9788,1,0,1560,0,1964,0,1840,1,62,291000
3,1,1280,10716,1,0,1280,0,1969,0,1440,1,79,290000
3,2,2090,4700,2,0,2090,0,2002,0,2740,1,64,289000
4,2,1860,6687,1,0,1220,640,1983,0,1860,2,59,288400
2,1,870,5340,1,0,870,0,1906,0,1190,2,50,271310
2,1,790,8424,1,0,790,0,1953,0,1470,1,69,268500
3,1,1570,7775,2,0,1570,0,1982,0,1580,3,71,263000
4,2,1990,6671,2,0,1990,0,1989,0,1862,1,63,260000
3,2,1490,7770,1,0,1490,0,1990,0,1540,2,69,259900
3,1,1320,8625,1,0,1320,0,1957,0,1370,1,73,259000
4,2,1960,7560,1,0,1160,800,1978,0,1950,1,79,250000
4,1,2500,6300,1,0,1500,1000,1961,0,1720,2,79,250000
2,1,1770,5522,1,0,960,810,1943,0,1830,2,78,243000
3,1,1650,9936,1,0,1090,560,1967,0,1560,3,74,219950
4,1,2180,28710,1,0,1180,1000,1950,0,2180,2,63,210000
4,2,1700,6025,1,0,1700,0,1978,0,1320,3,77,206000
3,1,1050,5000,1,0,1050,0,1967,0,1050,2,64,200000
1,1,820,1060,1,0,760,60,2007,0,1770,2,74,194000
2,1,950,7692,1,0,950,0,1926,0,1820,2,77,192500
3,1,1140,9628,1,0,1140,0,1969,0,1510,2,58,120750
5,4,5305,8401,2,2,3745,1560,2005,0,2960,1,68,2700000
3,3,3690,7200,2,0,3690,0,2007,0,1880,3,53,1580000
3,2,4460,26027,2,0,4460,0,1992,0,3770,2,56,1550000
4,3,3660,5800,2,0,3360,300,1909,1995,3240,3,76,1510000
4,2,3240,3600,2,0,2060,1180,2008,0,1820,3,79,1220000
3,2,2760,40946,2,0,2760,0,1978,0,3030,1,61,1190000
4,3,3810,8519,1,1,2680,1130,2007,0,3240,3,67,1130000
2,1,1890,8400,2,0,1890,0,1987,0,2180,1,78,1070000
3,4,3880,13095,2,3,3700,180,2009,0,3880,1,72,1030000
4,2,2290,6120,2,0,2170,120,1926,0,1910,1,58,1000000
5,4,4850,36450,2,0,4850,0,1977,0,3850,1,79,975000
4,3,2790,5420,1,3,1130,1660,1963,2013,2530,2,55,970000
5,3,5330,6000,2,2,3570,1760,2006,0,4420,3,50,950000
5,3,2876,13927,1,2,1970,906,1973,0,3500,2,59,895000
4,2,3488,9614,2,0,3488,0,1998,0,3600,3,76,815000
4,2,2830,13059,2,0,2830,0,1998,0,3840,3,68,744000
3,2,2020,1159,3,3,2020,0,2000,0,1920,2,51,720000
4,2,3400,247421,2,0,3400,0,2001,0,3180,3,65,712000
4,2,3010,46173,2,0,3010,0,1996,0,2590,3,71,700000
4,3,2780,7875,2,0,2780,0,2006,0,1000,1,66,700000
4,2,2550,8632,1,0,1700,850,1972,0,2550,3,51,691000
4,2,2340,6420,1,2,1590,750,1964,0,2110,1,75,668750
4,3,2350,13402,2,3,1670,680,1994,0,2250,2,61,655000
4,2,2750,6180,1,0,1500,1250,1948,0,1740,1,54,635000
4,2,2630,48706,2,0,2630,0,1986,0,2680,3,75,625000
4,2,2450,14803,2,0,2450,0,1988,0,2330,1,57,619420
4,2,2360,5226,2,0,2360,0,2001,0,2440,2,51,600000
3,2,2230,9053,2,0,2230,0,1987,0,2390,3,56,600000
4,2,2910,5776,2,2,2910,0,1998,0,2550,2,77,589000
3,2,2540,6093,2,0,2540,0,1999,0,2540,1,68,567000
3,2,2020,3600,2,0,2020,0,1998,0,2070,3,62,556000
3,3,1960,1168,2,0,1600,360,2007,0,2080,3,79,556000
5,3,3010,1074218,1,0,2010,1000,1931,0,2450,2,66,542500
3,1,1300,62290,1,0,1300,0,1983,0,1850,3,72,540000
3,2,1470,1691,2,0,1000,470,2007,0,1660,3,74,540000
4,2,1900,5790,2,0,1900,0,1994,0,2030,2,79,535800
2,1,1030,4841,1,0,920,110,1939,0,1530,3,68,535000
3,2,2100,10362,2,0,1510,590,1998,0,2240,3,58,525000
3,1,1450,4000,1,1,950,500,1948,0,1880,1,63,525000
4,2,3290,11446,2,0,3290,0,1992,0,2050,3,60,520000
3,2,1900,7604,2,0,1900,0,1990,0,1980,3,69,512500
3,3,2380,6250,2,3,1670,710,1997,0,2540,3,51,495000
4,2,1790,2250,1,2,840,950,1909,0,1440,1,56,475000
4,2,1660,6150,1,0,850,810,1945,0,1110,1,64,452000
2,1,1200,4000,1,0,1070,130,1940,0,1770,3,74,450000
4,2,2080,12007,1,0,1220,860,1979,0,2110,1,67,442000
3,1,1150,3000,1,0,1150,0,1906,0,1460,1,57,430000
3,2,2550,11160,2,0,2550,0,1994,0,1020,1,76,430000
3,2,2420,49928,2,0,1860,560,1985,0,2620,2,72,429000
1,1,960,40946,1,0,960,0,1945,0,1320,3,69,420850
3,2,1440,4421,1,0,1440,0,2007,0,1440,3,69,413800
3,1,2470,9620,1,1,1570,900,1962,0,2600,2,69,405000
3,1,1540,12446,1,0,1540,0,1967,0,1330,3,73,396450
3,2,1445,1471,2,0,1300,145,2003,0,1410,1,80,389999
3,2,1540,7947,1,0,1120,420,1961,0,1910,1,58,385500
5,2,2880,11965,2,0,2880,0,1990,0,2370,3,52,382000
3,1,2000,9416,1,0,2000,0,1961,0,1440,2,71,374000
3,2,2150,7484,2,0,2150,0,1988,0,2150,3,67,368250
2,0,850,7710,1,2,550,300,1909,0,2500,3,61,360000
3,2,1530,1131,3,0,1530,0,2009,0,1530,3,70,360000
3,1,980,7790,1,0,980,0,1969,0,1390,2,68,350000
4,2,1800,5453,1,0,1050,750,2002,0,1820,1,74,344500
4,2,2220,4228,2,0,2220,0,2014,0,2220,1,68,334990
3,2,1800,10500,2,0,1800,0,1995,0,1870,1,50,332500
3,1,1250,9126,1,0,1250,0,1969,0,1440,2,77,330000
3,1,990,6750,1,0,990,0,1947,0,1440,3,54,325000
4,2,2000,9000,1,0,2000,0,1978,0,2190,2,78,318989
2,1,970,13700,1,0,970,0,1949,0,1570,2,56,300000
3,2,2720,6014,2,0,2720,0,2002,0,2760,1,80,299900
2,1,790,5240,1,0,790,0,1925,0,1430,1,63,299800
3,2,1870,3230,2,0,1870,0,1997,0,1620,2,76,288400
3,1,2380,6000,1,0,1320,1060,1935,0,1290,3,67,285000
3,2,2030,6326,2,0,2030,0,1993,0,1810,1,77,275000
3,1,1390,10905,1,0,860,530,1957,0,1390,1,50,270000
6,2,2220,8797,1,0,2220,0,1977,0,1170,3,80,260000
3,2,1990,8991,1,0,1570,420,1969,0,1920,1,70,256750
3,1,1060,9039,1,0,1060,0,1973,2013,1410,1,59,255000
3,2,1170,7258,1,0,1170,0,1984,0,1410,2,64,250000
2,1,1140,5500,1,0,1140,0,1947,0,1110,3,50,249900
3,1,1780,23819,1,0,1780,0,1953,0,1130,2,74,246000
2,1,1330,7200,1,0,1330,0,1993,0,1450,2,77,240000
5,2,1930,6120,1,0,1930,0,1941,1969,1130,1,50,230000
2,1,1396,111949,1,0,1396,0,1940,1997,2020,3,76,225000
3,1,1060,9126,1,2,1060,0,1956,0,1300,2,64,220000
4,2,2160,8005,2,0,2160,0,1993,0,1790,3,76,220000
3,1,1020,7874,1,0,1020,0,1956,0,1290,3,69,218000
3,1,1240,4842,1,0,1240,0,1916,0,1540,3,74,210000
4,1,1310,5200,1,0,1160,150,1945,0,1090,1,76,200000
4,2,2030,8120,2,0,2030,0,1950,0,1520,1,78,199000
3,1,1380,7350,1,0,990,390,1981,0,1660,2,65,195000
2,1,1080,3899,1,0,1080,0,1972,0,1090,3,57,195000
2,1,1100,7600,1,0,1100,0,1980,0,1230,1,63,189650
3,1,1230,13056,1,0,1230,0,1962,0,1690,2,77,175000
3,1,1010,25000,1,0,1010,0,1966,0,2020,1,60,150000
4,5,5060,10320,2,0,5060,0,2008,0,3010,3,79,2150000
3,2,3160,12824,1,2,1820,1340,1966,0,3390,3,59,1600000
3,1,1610,7200,1,0,1090,520,1973,0,3790,2,67,1180000
3,2,2890,12130,2,3,2830,60,1987,0,2415,3,56,1170000
6,4,6040,219542,2,0,4100,1940,1996,0,2010,1,52,1150000
4,3,3600,9200,1,4,2100,1500,1976,0,2700,1,65,1080000
4,3,3440,35021,2,0,3440,0,1983,0,3440,3,75,1050000
4,2,3030,12590,1,0,3030,0,1988,0,2980,3,74,1050000
4,3,3860,5474,2,0,3860,0,2007,0,3040,2,59,1050000
4,3,4260,18687,2,0,4260,0,1996,0,3490,1,78,1000000
4,2,2080,4000,1,0,2080,0,1912,2000,1730,1,73,940000
3,1,1660,4800,2,0,1660,0,1907,0,1690,2,65,926300
4,3,3340,10890,1,0,2240,1100,1963,2000,2880,3,77,910000
